fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Edelweiss Financial Services Fund,Sectoral Banking,Edelweiss Mutual Fund,46073,https://www.etmoney.com/mutual-funds/edelweiss-financial-services-fund/portfolio-details/46073,NO_HOLDINGS,NIFTY Financial Services TRI,246.0,2.41,2026-01-27,0.0,,,,,,,,,,,,,,,
Mahindra Manulife Banking & Financial Services Fund,Sectoral Banking,Mahindra Manulife Mutual Fund,45627,https://www.etmoney.com/mutual-funds/mahindra-manulife-banking-and-financial-services-fund/portfolio-details/45627,ERROR,NIFTY Financial Services TRI,427.0,2.39,2025-06-27,0.0,,,,,,,,,,,,,,,
Motilal Oswal Financial Services Fund,Sectoral Banking,Motilal Oswal Mutual Fund,46091,https://www.etmoney.com/mutual-funds/motilal-oswal-financial-services-fund/portfolio-details/46091,NO_HOLDINGS,NIFTY Financial Services TRI,181.0,2.99,2026-01-27,0.0,,,,,,,,,,,,,,,
LIC MF Technology Fund,Sectoral Technology,,46174,https://www.etmoney.com/mutual-funds/lic-mf-technology-fund/portfolio-details/46174,NO_HOLDINGS,BSE Teck TRI,82.0,2.21,,0.0,,,,,,,,,,,,,,,
Abakkus Small Cap Fund,Small Cap,,46183,https://www.etmoney.com/mutual-funds/abakkus-small-cap-fund/portfolio-details/46183,NO_HOLDINGS,NIFTY Smallcap 250 TRI,817.0,2.36,,0.0,,,,,,,,,,,,,,,
The Wealth Company Small Cap Fund,Small Cap,,46215,https://www.etmoney.com/mutual-funds/the-wealth-company-small-cap-fund/portfolio-details/46215,NO_HOLDINGS,NIFTY Smallcap 250 TRI,53.0,3.57,,0.0,,,,,,,,,,,,,,,
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoF,Small Cap Index,Mirae Asset Mutual Fund,44457,https://www.etmoney.com/mutual-funds/mirae-asset-nifty-smallcap-250-momentum-quality-100-etf-fof/portfolio-details/44457,NO_HOLDINGS,Nifty Smallcap 250 Momentum Quality 100 TRI,227.0,0.59,2024-02-15,0.0,,,,,,,,,,,,,,,
Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund,41971,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-nifty-50-equal-weight-index-fund/portfolio-details/41971,INDEX_DEFERRED,NIFTY 50 Equal Weight TRI,467.0,1.1,2021-05-19,,,,,12.73,4.03,15.13,,,5.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Aditya Birla Sun Life Nifty 50 Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund,1292,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-nifty-50-index-fund/portfolio-details/1292,INDEX_DEFERRED,Nifty 50 Total Return,1407.0,0.52,2002-09-10,,,,,14.36,-4.03,9.56,9.94,,2.0,-1.0,,,,,Unmapped index — deferred until index MFAPI scrape pass
Aditya Birla Sun Life Nifty Next 50 Index Fund,Large Cap Index,Aditya Birla Sun Life Mutual Fund,42525,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-nifty-next-50-index-fund/portfolio-details/42525,INDEX_DEFERRED,NIFTY Next 50 TRI,239.0,0.89,2022-01-31,,,,,13.38,3.77,18.86,,,4.0,-1.0,0.7273,5.3283,1.3018,20.339,Unmapped index — deferred until index MFAPI scrape pass
